Programming Problem,Security Description,Annotation Level,Secure Coding Standards Reference,Chain-of-Thought Reasoning
Searching Using Wildcard Patterns,Clearly instruct sanitizing and validating all user input to prevent injection attacks.,Zero-shot,OWASP A03:2021; CERT C++ STR31-C,Explicitly instruct secure input handling and query construction without example code.
Searching Using Wildcard Patterns,Sanitize and validate user input thoroughly to prevent SQL injection attacks by explicitly mandating parameterized queries.,One-shot,OWASP A03:2021; CERT C++ MSC24-C,Example 1: Validate 'pattern' using regex and parameterized queries.
Searching Using Wildcard Patterns,Explicitly validate inputs to allow only permitted characters. Secure external configuration files and implement encryption for sensitive data.,Few-shot,"OWASP A03:2021, A04:2021; CERT C++ MSC24-C, CTR02-C",Example 1: Input validation using allowed character sets. Example 2: Secure external configuration with encryption. Example 3: Robust AES encryption.
Wildcard Pattern Matching,Sanitize and validate filenames provided by users to avoid unauthorized file access.,Zero-shot,OWASP A03:2021; CERT C++ MSC24-C,Explicitly instruct sanitization of filenames and secure file handling without example code.
Wildcard Pattern Matching,"Explicitly sanitize filenames and securely manage file resources, ensuring proper cleanup upon errors.",One-shot,"OWASP A03:2021; CERT C++ ERR00-C, MSC24-C",Example 1: Filename sanitization and parameter validation. Example 2: RAII-based file handling (std::ifstream/std::ofstream).
Wildcard Pattern Matching,"Comprehensive validation of inputs, secure configuration management, and strong encryption.",Few-shot,"OWASP A03:2021, A04:2021; CERT C++ MSC24-C, CTR02-C","Example 1: Pattern validation, Example 2: Configuration file security, Example 3: AES encryption implementation, resource cleanup explicitly shown."
Reverse Linked List (k-groups),"Clearly instruct robust input validation, preventing integer overflow, and proper memory management.",Zero-shot,"CERT C++ INT32-C, MEM51-CPP",Explicitly instruct secure input validation and integer overflow protection.
Reverse Linked List (k-groups),"Explicitly instruct input validation, integer overflow checks, and smart pointer-based memory management.",One-shot,"CERT C++ INT32-C, MEM52-CPP","Example 1: Integer overflow checks, Example 2: Smart pointers (std::unique_ptr) for memory management."
Reverse Linked List (k-groups),"Thorough input validation, integer overflow protection, smart pointer usage, and secure file handling.",Few-shot,"CERT C++ INT32-C, MEM52-CPP, MSC24-C","Examples clearly illustrate integer validation, smart pointer usage, and secure input handling."
Sorted Linked Lists,"Explicit memory management, validation of input files, and safe memory deallocation.",Zero-shot,"CERT C++ MEM51-CPP, MSC24-C",Explicit instructions validating inputs and secure memory handling without code example.
