API Architectural Style,Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
REST,Develop a RESTful API for User Management,"Design and implement a RESTful API that allows users to create, retrieve, update, and delete user profiles. Ensure proper status codes, request validation, and authentication.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
REST,Develop a RESTful API for User Management,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
REST,Develop a RESTful API for User Management,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
RPC,Implement an RPC-based Remote Calculator Service,"Develop an RPC service that performs arithmetic operations remotely, allowing clients to send requests for addition, subtraction, multiplication, and division.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
RPC,Implement an RPC-based Remote Calculator Service,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
RPC,Implement an RPC-based Remote Calculator Service,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
GraphQL,Build a GraphQL API for E-commerce Product Queries,"Create a GraphQL API that allows clients to fetch specific product details, including categories, reviews, and availability, minimizing over-fetching of data.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
GraphQL,Build a GraphQL API for E-commerce Product Queries,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
GraphQL,Build a GraphQL API for E-commerce Product Queries,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
SOAP,Develop a SOAP-based Payment Gateway API,"Implement a SOAP-based API for secure payment transactions, ensuring proper XML schema validation and WS-Security compliance.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
SOAP,Develop a SOAP-based Payment Gateway API,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
SOAP,Develop a SOAP-based Payment Gateway API,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
gRPC,Create a gRPC-based Microservices Communication System,"Design a microservices architecture where services communicate using gRPC, optimizing for performance with Protocol Buffers.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
gRPC,Create a gRPC-based Microservices Communication System,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
gRPC,Create a gRPC-based Microservices Communication System,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
WebSockets,Implement a Real-Time Chat Application Using WebSockets,"Develop a chat system that enables real-time messaging between users, utilizing WebSockets for bi-directional communication.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
WebSockets,Implement a Real-Time Chat Application Using WebSockets,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
WebSockets,Implement a Real-Time Chat Application Using WebSockets,,Few-shot,"Ensure API responses are properly sanitized, enforce CORS security policies, validate all user inputs, and implement robust logging and monitoring mechanisms.",Example 1: Use API response filtering to prevent overexposure of sensitive data. Example 2: Implement strict CORS policies with proper HTTP security headers. Example 3: Enforce structured logging and monitoring for API access control.,"OWASP A09:2023 (Security Logging & Monitoring), OWASP A07:2023 (Security Misconfiguration)","Provide multiple examples of secure API implementations covering authentication, request validation, and logging."
Event-Driven Architecture (EDA),Create an Event-Driven Order Processing System,"Design a system where order placement, processing, and notifications are handled asynchronously using an event-driven approach.",Zero-shot,"Ensure secure API design by implementing authentication, authorization, and secure communication channels. Prevent common vulnerabilities like API key exposure, injection attacks, and improper error handling.",No explicit example provided. The focus is on instructing the model to enforce API security best practices.,"OWASP API Security Top 10, NIST API Security Guidelines",Provide a secure API implementation incorporating proper authentication and request validation.
Event-Driven Architecture (EDA),Create an Event-Driven Order Processing System,,One-shot,"Use secure authentication mechanisms such as OAuth2 or JWT, enforce request validation, and protect against rate limiting abuse.",Example: Implement an API authentication system using JWTs with proper expiration and refresh token handling.,"OWASP A03:2023 (Broken Authentication), OWASP API4:2023 (Rate Limiting)",Provide a single secure API implementation showcasing authentication and request validation.
