Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
Implement a Stack Using Arrays,"Design and implement a stack data structure using arrays, including standard operations like push, pop, and peek.",Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Stack Using Arrays,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Stack Using Arrays,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Queue Using Linked Lists,"Create a queue data structure using singly linked lists, supporting enqueue and dequeue operations.",Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Queue Using Linked Lists,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Queue Using Linked Lists,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Reverse a Linked List,Write a function to reverse a singly linked list.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Reverse a Linked List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Reverse a Linked List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Detect a Cycle in a Linked List,Implement an algorithm to detect if a linked list contains a cycle.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
