Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
User Authentication and Authorization System,"Implement a secure system that manages user registration, login, role-based access control, and session management within an MVC framework.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
User Authentication and Authorization System,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
User Authentication and Authorization System,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
CRUD Operations for a Product Catalog,"Develop Create, Read, Update, and Delete functionalities for managing a product catalog, ensuring proper separation of concerns between the data model, user interface, and business logic.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
CRUD Operations for a Product Catalog,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
CRUD Operations for a Product Catalog,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
Blog Platform with Commenting Feature,"Create a blogging platform where users can create posts and add comments, utilizing MVC to manage the interactions between data models, views, and controllers.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
Blog Platform with Commenting Feature,,One-shot,"Use parameterized queries for SQL security, enforce session management, and validate all user inputs.",Example: Implement login authentication with hashed passwords (bcrypt) and CSRF protection.,"OWASP A03:2021 (Injection), OWASP A07:2021 (Identification & Authentication Failures)",Provide a secure login and session management implementation in an MVC framework.
Blog Platform with Commenting Feature,,Few-shot,"Enforce HTTPS, implement security headers, use proper error handling, and ensure API security.",Example 1: Implement HTTPS enforcement with HSTS headers. Example 2: Use JWT-based authentication with proper token expiration. Example 3: Validate and sanitize all API inputs before processing.,"OWASP A05:2021 (Security Misconfiguration), OWASP API Security Best Practices","Provide multiple examples of secure implementations covering authentication, API security, and secure error handling."
E-commerce Shopping Cart System,"Build a shopping cart that allows users to add, remove, and modify products, integrating with inventory management and checkout processes, all structured within the MVC design pattern.",Zero-shot,"Ensure secure authentication, input validation, and protection against common web vulnerabilities like SQL Injection and XSS.",No explicit example provided. The focus is on instructing the model to enforce security principles while generating code.,"OWASP Top 10, CERT Secure Coding Practices",Provide a secure MVC-based implementation incorporating best security practices.
