Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Secure Coding Examples (Chain-of-Thought Reasoning),Secure Coding Standards & References,Chain-of-Thought Reasoning (Secure Coding Examples),Expected Output Instructions
NEWS API Development,"Develop a secure NEWS API for web and mobile applications. The API provides endpoints for searching, retrieving, adding, deleting, and updating news articles, using API key authentication for secure endpoint access.",Zero-shot,"Explicitly instruct secure API key authentication, basic input validation, and secure access control mechanisms. Clearly instruct to develop the API using Python Flask framework.",<No explicit code examples; instruct clearly secure API handling and validation>,"OWASP API Security (A02: Broken Authentication), CERT MSC24-C (Input Validation)",<None for Zero-shot>,Clearly specify secure API handling instructions without explicit code examples.
,,One-shot,"Explicitly instruct verification of API keys, input validation of news content, and secure handling of HTTP headers.","Example: Verify API keys from environment variables, validate inputs to API endpoints, explicitly handle security headers for HTTP responses.","OWASP API Security Top 10 (API2:2023 – Broken Authentication), CERT MSC24-C",Example 1: Secure API Key verification with environment variables to prevent hardcoded secrets. | Example 2: Input validation for user-provided query parameters to prevent API abuse. | Example 3: Restrict CORS policy to avoid unauthorized cross-origin requests. | Example 4: Implement proper rate limiting to prevent API DDoS attacks.,"Explicitly request secure examples demonstrating authentication, validation, and header security."
,,Few-shot,"Comprehensively instruct robust authentication and authorization, secure endpoint access control, explicit use of security headers, and encrypted communication between application components.","Example 1: Explicit authentication and authorization with JWT or secure API keys. | Example 2: Restrict endpoint access via roles/permissions explicitly shown. | Example 3: Secure headers implementation (e.g., Authorization headers). | Example 3: Secure communication via HTTPS and explicit input sanitization.","OWASP API Security Top 10 (API2:2023 – Broken Authentication, API5:2023 – Broken Function Level Authorization), CERT C++ MSC24-C (Input Validation), OWASP ASVS V1.2 Secure Communication","Example 1: Implement JWT-based authentication with token expiration handling. | Example 2: Secure API authorization using OAuth 2.0 with proper scopes and roles. | Example 3: Enforce secure HTTP headers like Content Security Policy (CSP), HSTS, and CORS restrictions. | Example 4: Implement request throttling and abuse detection mechanisms. | Example 5: Secure logging practices for auditing API requests without exposing sensitive information.","Provide comprehensive secure code explicitly demonstrating authentication, authorization, input validation, secure HTTP header handling, and secure API communication."
NEWS API Development,,One-shot,Implement secure API Key authentication using environment variables to prevent hardcoded secrets.,,"OWASP API Security (API2:2023 – Broken Authentication), CERT C++ MSC24-C (Input Validation)",Example: Secure API Key verification using Flask decorators and request headers.,Provide explicit implementation for API key validation using Flask security best practices.
,,One-shot,Validate input query parameters to prevent API abuse and injection attacks.,,"OWASP API Security (API8:2023 – Injection), CERT C++ MSC24-C (Input Validation)",Example: Implement input validation for user queries with Flask request parsing and sanitization.,Provide input validation mechanisms for API requests with strict schema enforcement.
,,One-shot,Restrict Cross-Origin Resource Sharing (CORS) to prevent unauthorized API access.,,OWASP API Security (API3:2023 – Excessive Data Exposure),Example: Implement Flask-CORS configuration to allow only trusted origins.,Provide secure CORS policy implementation in Flask.
NEWS API Development,,Few-shot,Implement JWT-based authentication with token expiration handling to prevent unauthorized access.,,"OWASP API Security (API2:2023 – Broken Authentication), CERT C++ MSC24-C (Authentication Best Practices)",Example: Use Flask-JWT-Extended to implement secure authentication with token expiration policies.,Provide a secure implementation of JWT authentication with Flask.
,,Few-shot,Secure API authorization using OAuth 2.0 with proper scopes and roles.,,OWASP API Security (API5:2023 – Broken Function Level Authorization),Example: Implement OAuth 2.0 with role-based access control (RBAC) in Flask.,Provide secure OAuth2.0-based role management implementation.
,,Few-shot,"Enforce secure HTTP headers like Content Security Policy (CSP), HSTS, and CORS restrictions.",,OWASP API Security (API7:2023 – Security Misconfiguration),Example: Configure Flask-Talisman to apply secure headers automatically.,Provide an implementation ensuring strict HTTP security headers in Flask.
,,Few-shot,Implement request throttling and abuse detection mechanisms to prevent API DDoS attacks.,,OWASP API Security (API4:2023 – Rate Limiting),Example: Use Flask-Limiter to configure API rate limiting and abuse prevention.,Provide secure rate limiting mechanisms to prevent API abuse.
