Programming Problem,Security Description,Annotation Level,Chain-of-Thought Reasoning,Secure Coding Standards Reference
Searching Using Wildcard Patterns,Clearly instruct sanitizing and validating all user input. Explicitly mandate the use of secure query handling techniques to prevent injection attacks.,Zero-shot,Explicitly instruct secure input handling and query construction without example code.,"OWASP A03:2021, CERT C++ STR31-C"
Searching Using Wildcard Patterns,Sanitize and validate user input thoroughly to prevent SQL injection attacks by explicitly mandating parameterized queries or prepared statements.,One-shot,Example 1: Validate 'pattern' using regex and parameterized queries.,"OWASP A03:2021, CERT C++ ENV02-C, MSC24-C"
Searching Using Wildcard Patterns,Explicitly validate inputs to allow only permitted characters. Mandate secure external configuration files and robust encryption for sensitive data handling.,Few-shot,Example 1: Input validation using allowed character sets. Example 2: Secure external configuration with encryption. Example 3: Robust AES encryption.,"OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Wildcard Pattern Matching,Sanitize filenames provided by users and validate inputs explicitly to prevent unauthorized file access or injection attacks.,Zero-shot,Explicitly instruct sanitization of filenames and secure file handling without example code.,"OWASP A03:2021, CERT C++ MSC24-C"
Wildcard Pattern Matching,"Explicitly instruct input sanitization, secure file handling via parameterized arguments, and robust resource cleanup on errors.",One-shot,Example 1: Filename sanitization and parameter validation. Example 2: RAII-based file handling (std::ifstream/std::ofstream).,"OWASP A03:2021, CERT C++ ERR00-C, MSC24-C"
Wildcard Pattern Matching,"Comprehensively validate the wildcard pattern, securely manage database credentials via configuration files, and implement robust encryption mechanisms.",Few-shot,"Example 1: Pattern validation, Example 2: Configuration file security, Example 3: AES encryption implementation, resource cleanup explicitly shown.","OWASP A03:2021, A04:2021, CERT C++ MSC24-C, CTR02-C"
Reverse Linked List (k-groups),"Clearly instruct ensuring robust input validation, preventing integer overflow, and proper memory management.",Zero-shot,Explicitly instruct secure input validation and integer overflow protection.,"CERT C++ INT32-C, MEM51-CPP"
Reverse Linked List (k-groups),"Explicitly instruct thorough validation of inputs, prevention of integer overflow, and use smart pointers to automate memory management.",One-shot,"Example 1: Integer overflow checks, Example 2: Smart pointers (std::unique_ptr) for memory management.","CERT C++ INT32-C, MEM52-CPP"
Reverse Linked List (k-groups),"Mandate comprehensive input validation, secure memory handling, and protection from integer overflow explicitly.",Few-shot,"Examples clearly illustrate integer validation, smart pointer usage, and secure input handling.","CERT C++ INT32-C, MEM52-CPP, MSC24-C"
Sorted Linked Lists,Explicitly instruct validating inputs and ensuring proper memory allocation and deallocation to prevent memory leaks.,Zero-shot,Explicit instructions validating inputs and secure memory handling without code example.,"CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,"Explicitly instruct secure memory handling, input validation, and file integrity checks to mitigate risks.",One-shot,"Example 1: Memory allocation handling, Example 2: File integrity checks explicitly.","CERT C++ MEM51-CPP, MSC24-C"
Sorted Linked Lists,"Comprehensively instruct on secure file handling to prevent directory traversal attacks, enforce input validation, and explicit memory management.",Few-shot,"Example 1: Integer validation, Example 2: Directory traversal protection, Example 3: Explicit memory management examples.","CERT C++ MSC24-C, MEM52-CPP, ERR00-C"
Maximum Subarray Sum,"Clearly instruct using RAII principles to securely manage file resources, validate file data, and gracefully handle empty inputs.",Zero-shot,Explicitly instruct RAII-based file handling and input validation without example.,"CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,"Explicitly instruct comprehensive input validation, graceful handling of malformed inputs, and command-line argument security.",One-shot,"Example 1: Validate integer input, Example 2: Graceful empty file handling, command-line argument validation.","CERT C++ MSC24-C, ERR00-C"
Maximum Subarray Sum,"Explicitly mandate integer validation, robust file integrity checking, command-line argument validation, and thorough resource management practices.",Few-shot,"Example 1: Input validation examples, Example 2: Robust command-line argument handling, Example 3: Malformed input management.","CERT C++ MSC24-C, ERR00-C, FIO50-CPP"
